,MONDAY,,TUESDAY,,WEDNESDAY,,THURSDAY,,FRIDAY,
Time,June 1,,June 2,,June 3,,June 4,,June 5,
,Welcome Desk - Tour Guide,,Welcome Desk - Tour Guide,,Welcome Desk - Tour Guide,,Welcome Desk - Tour Guide,,Welcome Desk - Tour Guide,
8:00-9:00,LIB,,Ambassador,,Ambassador,,LIB,,LIB,
9:00-10:00,LIB,,LIB,,LIB,,LIB,,LIB,
10:00-11:00,OIP,,OIP,,LIB,,OIP,,LIB,
11:00-12:00,OIP,,OIP,,Ambassador,,OIP,,Ambassador,
12:00-1:00,OIP,,OIP,,Ambassador,,OIP,,Ambassador,
1:00-2:00,OIP,,OIP,,LIB,,OIP,,LIB,
2:00-3:00,LIB,,LIB,,LIB,,LIB,,Ambassador,
3:00-4:00,LIB,,LIB,,LIB,,LIB,,Ambassador,
4:00-5:00,LIB,,Ambassador,,LIB,,LIB,,Ambassador,
Time,June 8,,June 9,,June 10,,June 11,,June 12,
,Welcome Desk - Tour Guide,,Welcome Desk - Tour Guide,,Welcome Desk - Tour Guide,,Welcome Desk - Tour Guide,,Welcome Desk - Tour Guide,
8:00-9:00,LIB,,Ambassador,,Ambassador,,LIB,,Ambassador,
9:00-10:00,LIB,,LIB,,LIB,,LIB,,LIB,
10:00-11:00,OIP,,OIP,,LIB,,OIP,,LIB,
11:00-12:00,OIP,,OIP,,Ambassador,,OIP,,Ambassador,
12:00-1:00,OIP,,OIP,,Ambassador,,OIP,,Ambassador,
1:00-2:00,OIP,,OIP,,LIB,,OIP,,LIB,
2:00-3:00,LIB,,LIB,,LIB,,LIB,,Ambassador,
3:00-4:00,LIB,,LIB,,LIB,,LIB,,Ambassador,
4:00-5:00,LIB,,Ambassador,,LIB,,LIB,,Ambassador,
Time,June 15,,June 16,,June 17,,June 18,,,
,Welcome Desk - Tour Guide,,Welcome Desk - Tour Guide,,Welcome Desk - Tour Guide,,Welcome Desk - Tour Guide,,,
8:00-9:00,LIB,,Ambassador,,Ambassador,,LIB,,,
9:00-10:00,LIB,,LIB,,LIB,,LIB,,,
10:00-11:00,OIP,,OIP,,LIB,,OIP,,,
